dc_bus_ripple_voltage_V,capacitor_esr_mOhm,junction_temp_C,mosfet_on_resistance_mOhm,conversion_efficiency_pct,heatsink_temp_C,command_fan_rpm,actual_fan_rpm,thd_pct,mains_surges_count,health_state
13.96,22.38,77.14,7.93,92.3,72.95,3500,2713,4.66,4,2
18.87,32.27,99.78,9.85,87.16,90.4,4000,2426,8.38,5,3
5.43,9.48,45.77,4.81,98.78,40.38,2000,1990,1.44,0,0
22.49,39.31,94.87,10.41,87.31,89.79,4000,1684,10.06,8,3
19.16,30.19,101.7,9.58,82.41,88.94,4000,1650,8.03,8,3
4.68,9.68,44.42,4.99,98.32,39.78,2000,1983,1.46,0,0
13.06,24.57,79.14,7.2,90.59,68.8,3500,2723,4.82,4,2
5.15,9.3,46.79,5.18,98.49,39.37,2000,2043,1.57,0,0
6.9,13.49,57.24,5.51,95.73,49.7,3000,2866,3.41,3,1
12.32,24.25,73.44,7.9,92.43,68.59,3500,2782,5.56,6,2
13.72,20.49,75.37,7.43,93.31,73.03,3500,2727,5.83,2,2
5.19,10.3,46.29,5.19,98.62,38.96,2000,2046,1.68,1,0
12.69,24.19,74.76,7.78,92.53,69.38,3500,2691,6.15,2,2
4.89,10.05,43.5,5.02,98.72,41.35,2000,1972,1.37,0,0
18.41,34.11,93.67,9.65,86.7,89.41,4000,2141,9.51,10,3
17.85,38.16,93.13,10.69,82.78,89.29,4000,2452,8.03,10,3
10.02,24.2,72.68,7.59,92.69,71.37,3500,2872,4.55,2,2
13.79,22.39,71.65,7.84,93.37,70.75,3500,2830,5.19,3,2
17.27,38.54,90.61,10.06,85.24,94.85,4000,2427,9.2,6,3
22.68,35.03,98.26,9.98,83.62,86.28,4000,1921,8.47,9,3
10.47,20.17,73.38,7.33,91.6,67.1,3500,2739,4.85,5,2
10.88,21.55,79.88,7.23,93.25,70.38,3500,2628,5.35,2,2
23.42,35.55,100.11,9.26,87.14,85.42,4000,2246,7.71,9,3
6.96,15.68,57.89,6.05,95.55,54.43,2500,2395,3.02,0,1
10.01,22.03,75.53,7.24,92.65,69.39,3500,2644,5.31,4,2
5.47,9.43,43.71,5.02,98.41,38.49,2000,1967,1.3,1,0
5.3,9.45,44.49,5.12,98.72,40.89,1500,1458,1.61,0,0
13.21,24.99,75.64,7.58,92.21,72.27,3500,2767,5.28,3,2
7.66,12.68,54.86,5.62,96.05,49.65,2000,1750,2.69,0,1
13.15,23.81,73.19,7.1,90.7,68.25,3500,2899,5.38,6,2
12.27,21.68,73.44,7.49,90.79,67.25,3500,2807,4.9,3,2
4.94,10.57,46.52,4.85,98.7,38.9,2000,1987,1.42,1,0
22.91,33.62,102.43,9.38,87.01,87.81,4000,1644,10.78,8,3
7.88,13.88,52.04,5.9,96.08,50.47,2500,2391,3.49,0,1
8.21,13.03,55.53,6.08,96.13,52.57,2000,1872,2.92,3,1
8.17,12.67,55.3,6.07,96.53,50.51,2000,1878,3.35,1,1
7.82,13.76,55.45,5.83,95.87,49.13,2500,2253,3.16,3,1
5.27,10.0,46.68,5.06,98.45,38.13,2000,1967,1.43,1,0
8.2,14.85,52.98,5.66,95.85,49.7,2000,1833,2.62,3,1
17.54,39.36,90.87,9.52,82.66,85.5,4000,1792,10.73,7,3
13.14,24.15,73.73,7.68,91.17,73.83,3500,2887,4.62,3,2
23.05,38.18,93.88,9.3,82.09,92.32,4000,2084,9.57,8,3
5.31,9.17,44.6,5.15,98.26,41.07,2000,1990,1.47,1,0
17.14,31.17,102.8,9.95,86.46,92.65,4000,1897,7.4,10,3
7.6,14.38,53.51,5.66,96.05,53.83,2500,2349,3.33,1,1
13.69,24.56,77.94,7.85,91.44,72.6,3500,2656,5.92,4,2
8.38,14.64,53.15,6.05,96.4,54.39,3000,2821,3.39,0,1
5.03,10.72,46.93,5.19,98.43,41.34,1500,1546,1.47,0,0
6.89,15.93,55.91,5.75,96.65,50.58,2000,1767,2.97,0,1
4.59,10.42,43.34,5.16,98.28,41.74,1500,1495,1.44,0,0
4.6,10.3,43.83,5.03,98.72,40.67,2500,2536,1.62,1,0
7.76,14.6,55.53,5.92,95.66,53.37,2500,2302,3.16,1,1
23.57,39.17,90.8,9.28,84.42,88.73,4000,1662,10.77,7,3
22.06,35.14,88.34,9.99,85.91,88.02,4000,2240,8.58,9,3
12.23,21.96,75.06,7.95,92.16,70.18,3500,2636,5.62,4,2
12.17,23.83,71.22,7.13,91.45,68.63,3500,2626,5.54,4,2
7.95,13.08,54.86,5.58,95.27,49.32,3000,2785,2.68,0,1
12.51,21.07,78.44,7.78,93.32,69.03,3500,2698,5.28,4,2
11.36,19.3,74.27,7.61,93.33,72.32,3500,2796,4.74,4,2
21.25,33.8,101.49,9.83,82.49,88.8,4000,1553,7.68,9,3
5.35,9.47,45.23,5.14,98.53,38.04,2000,2011,1.58,0,0
5.46,9.28,46.2,5.16,98.58,38.31,2500,2494,1.31,0,0
6.97,14.55,56.6,5.57,95.84,50.57,3000,2727,2.94,2,1
6.52,15.27,53.78,5.62,95.94,53.8,3000,2785,2.83,0,1
8.06,13.16,53.5,5.84,96.45,52.1,2000,1712,3.36,0,1
22.44,33.62,98.63,9.76,84.74,90.9,4000,2282,7.08,5,3
6.97,15.81,53.59,5.59,95.89,51.48,3000,2801,2.63,1,1
22.77,31.47,98.4,10.12,86.07,85.53,4000,2466,9.98,7,3
6.68,15.57,56.99,5.95,96.38,49.11,2500,2293,2.75,1,1
7.27,12.48,57.87,5.83,96.76,51.57,3000,2717,3.34,1,1
4.71,9.65,46.72,5.18,98.36,41.75,2000,1999,1.44,1,0
13.91,21.9,79.52,7.05,91.47,66.66,3500,2873,5.64,5,2
13.24,23.2,76.98,7.13,91.69,73.23,3500,2872,4.94,5,2
10.04,21.6,75.28,7.18,92.94,70.08,3500,2535,5.71,3,2
11.1,22.13,73.63,7.56,91.69,72.67,3500,2582,5.92,5,2
7.63,13.41,56.86,5.65,95.32,49.37,3000,2780,3.46,2,1
7.65,13.25,52.25,5.89,96.58,49.57,2500,2209,3.43,1,1
17.49,39.3,92.15,10.4,85.74,93.34,4000,1983,10.46,7,3
5.06,9.77,45.79,5.18,98.52,41.58,2000,1967,1.44,0,0
23.62,33.53,102.17,9.91,87.72,88.34,4000,2485,8.72,5,3
22.43,38.7,89.63,10.37,83.22,86.79,4000,1932,10.0,6,3
4.78,10.33,43.32,5.02,98.42,39.6,2500,2548,1.36,0,0
7.42,14.19,52.5,6.09,95.87,49.66,3000,2887,2.58,0,1
16.74,35.75,92.47,10.04,82.77,91.46,4000,2376,7.31,5,3
11.65,24.5,74.48,7.96,92.79,71.73,3500,2808,5.12,4,2
11.23,19.4,78.36,7.88,92.82,70.65,3500,2520,5.65,2,2
16.87,37.2,100.62,9.62,86.73,87.71,4000,1720,8.61,10,3
11.55,21.6,73.44,7.34,93.14,73.49,3500,2771,5.2,3,2
22.4,36.0,97.83,9.32,84.39,92.91,4000,1820,7.85,7,3
21.53,33.35,98.94,10.31,82.51,92.08,4000,1557,8.89,7,3
16.8,31.53,102.09,10.39,87.74,86.9,4000,1756,10.63,7,3
13.36,19.17,76.06,7.69,92.14,69.47,3500,2647,4.52,2,2
12.1,22.44,78.4,7.75,91.14,72.19,3500,2696,5.35,5,2
10.82,22.8,77.15,7.96,92.92,73.55,3500,2702,6.06,4,2
7.34,15.02,57.67,5.6,95.29,51.93,2500,2249,3.28,1,1
23.97,35.22,99.65,9.2,84.52,91.73,4000,2397,8.7,8,3
10.72,24.41,70.97,7.03,92.87,69.1,3500,2760,4.51,6,2
4.62,9.97,43.05,5.13,98.34,39.57,2500,2467,1.53,0,0
7.48,13.14,56.22,5.7,95.6,52.96,2500,2267,2.88,2,1
18.83,36.05,95.99,9.42,86.52,92.87,4000,2353,8.5,7,3
4.71,9.22,44.55,5.08,98.2,41.48,2500,2501,1.62,0,0
5.36,10.44,45.52,5.11,98.71,38.62,1500,1475,1.34,0,0
5.44,10.39,46.08,4.9,98.49,40.76,2000,1991,1.35,1,0
8.14,15.2,55.2,5.56,95.5,49.05,3000,2709,3.3,2,1
10.64,24.9,70.65,7.56,90.82,66.64,3500,2742,6.13,5,2
17.91,35.6,97.42,10.16,82.81,85.72,4000,2435,9.59,7,3
5.1,10.58,43.12,4.87,98.67,39.7,1500,1491,1.56,1,0
11.03,20.37,70.6,7.02,92.91,70.88,3500,2625,6.43,2,2
4.61,10.63,44.28,5.01,98.3,38.6,1500,1496,1.65,0,0
5.49,10.34,45.96,4.96,98.47,41.44,2500,2472,1.33,0,0
12.25,22.54,79.01,7.74,92.35,68.66,3500,2535,4.98,5,2
4.55,9.81,43.97,5.02,98.69,40.6,1500,1526,1.63,0,0
16.44,33.2,95.06,10.76,82.95,93.84,4000,2455,10.17,8,3
21.7,35.7,87.84,10.71,87.59,93.49,4000,1865,7.27,6,3
11.46,19.43,76.22,7.88,92.03,71.34,3500,2775,5.11,4,2
12.64,19.05,70.55,7.55,92.61,72.91,3500,2633,4.71,3,2
6.68,14.68,55.43,5.75,95.88,53.19,3000,2774,3.18,2,1
22.52,33.62,96.38,9.02,86.75,92.77,4000,1863,8.04,8,3
5.23,9.8,44.12,5.09,98.21,38.24,1500,1512,1.62,1,0
18.85,32.05,97.46,10.38,85.2,90.01,4000,1864,7.73,5,3
16.09,38.05,100.59,9.7,87.66,89.05,4000,2421,7.04,9,3
7.7,12.97,55.25,6.0,96.57,50.66,2000,1789,3.05,3,1
16.41,37.84,88.15,10.86,86.11,88.53,4000,1705,9.73,9,3
23.88,31.27,94.12,9.59,86.03,91.54,4000,1987,9.37,8,3
13.74,20.4,71.31,7.72,92.92,69.47,3500,2570,5.97,4,2
20.22,33.36,101.24,9.75,85.01,88.61,4000,2413,10.53,10,3
23.74,31.66,100.08,10.87,84.56,85.7,4000,1513,9.71,8,3
13.49,19.81,74.15,7.87,90.83,67.71,3500,2881,5.02,2,2
7.01,12.83,52.43,5.8,95.57,54.63,2500,2388,3.3,1,1
5.31,10.5,44.64,4.9,98.54,40.85,2500,2519,1.68,0,0
10.38,22.66,79.05,7.91,91.24,69.1,3500,2693,5.45,5,2
13.13,24.66,76.9,7.94,90.75,72.25,3500,2772,4.83,5,2
20.12,30.91,102.26,10.72,84.59,87.63,4000,1976,10.41,8,3
6.74,14.45,56.11,5.92,95.38,51.36,2500,2378,2.98,2,1
18.55,35.3,90.13,9.22,85.59,89.82,4000,2491,7.72,8,3
7.31,13.19,54.66,5.62,95.91,50.37,2500,2365,3.06,2,1
12.72,22.39,79.39,7.15,90.94,68.55,3500,2875,5.01,3,2
16.07,39.36,90.82,9.94,87.88,85.09,4000,2473,10.27,6,3
23.92,32.4,92.75,10.6,82.13,93.26,4000,2286,8.7,7,3
12.04,20.5,73.1,7.58,92.54,72.01,3500,2895,5.43,2,2
16.24,35.95,90.8,10.25,86.93,90.13,4000,2205,9.52,7,3
12.41,23.38,79.39,7.99,91.43,73.25,3500,2899,4.74,5,2
20.45,37.45,99.05,9.79,87.72,88.0,4000,1786,10.63,7,3
16.88,39.75,91.17,10.03,86.21,87.35,4000,2400,10.76,8,3
5.38,9.93,46.75,4.85,98.25,40.37,1500,1528,1.37,1,0
6.66,15.51,52.99,6.04,96.6,53.78,2500,2221,3.14,3,1
20.3,38.5,90.1,10.81,83.6,92.43,4000,2112,8.21,10,3
10.67,21.87,77.23,7.45,93.46,68.39,3500,2888,5.47,6,2
8.17,15.7,57.94,5.74,95.32,54.53,2500,2249,3.14,2,1
22.89,36.09,90.95,10.34,85.13,92.76,4000,2196,7.46,8,3
8.29,12.34,53.24,5.99,96.35,50.5,2000,1881,2.87,2,1
13.73,23.41,74.88,7.11,92.72,72.59,3500,2632,6.29,2,2
5.23,10.18,46.55,5.11,98.63,41.04,1500,1478,1.35,0,0
20.83,36.81,92.47,9.61,87.13,89.04,4000,2197,10.46,7,3
23.62,31.6,102.88,9.73,87.96,90.3,4000,1821,8.14,7,3
21.82,32.6,87.77,9.13,83.49,91.48,4000,1565,7.72,8,3
10.92,19.5,71.75,7.93,92.84,69.33,3500,2603,5.09,3,2
7.82,12.35,57.97,5.52,95.9,49.12,2500,2221,2.71,3,1
13.41,22.99,73.61,7.56,93.32,68.82,3500,2673,4.97,2,2
13.05,19.74,79.74,7.32,92.87,73.2,3500,2891,6.12,3,2
17.47,35.67,96.77,10.73,82.99,86.83,4000,1677,8.77,9,3
8.25,12.51,55.69,6.09,96.5,51.65,2000,1702,2.97,2,1
12.5,21.53,73.54,7.64,90.57,71.14,3500,2770,6.47,4,2
11.14,23.24,79.72,7.74,92.94,69.03,3500,2804,4.8,4,2
5.47,9.21,44.83,5.02,98.58,38.46,1500,1520,1.3,1,0
22.39,31.57,90.98,10.42,85.19,89.51,4000,1587,8.7,9,3
5.13,9.55,44.7,4.94,98.62,41.86,2500,2495,1.44,0,0
10.39,19.12,71.08,7.51,93.32,70.16,3500,2620,5.29,4,2
19.77,31.12,100.17,9.41,84.49,92.52,4000,1946,10.36,7,3
7.14,13.92,53.91,6.02,95.33,54.43,2000,1813,3.11,0,1
16.83,39.95,101.56,9.37,84.51,85.14,4000,1905,7.7,5,3
22.63,38.36,91.51,9.86,86.99,89.43,4000,2221,9.52,5,3
16.9,33.09,89.06,9.15,85.96,92.32,4000,1674,8.44,7,3
19.33,36.25,93.36,10.23,82.52,89.84,4000,2092,8.27,8,3
21.17,32.84,87.27,9.7,87.01,90.44,4000,1610,8.67,9,3
5.07,9.27,45.93,5.14,98.33,40.66,1500,1501,1.38,0,0
7.38,15.89,54.78,5.61,95.58,54.68,2000,1864,3.27,2,1
12.4,23.25,71.65,7.56,90.82,69.08,3500,2743,5.95,2,2
20.02,33.01,98.93,9.92,83.02,87.75,4000,1612,9.21,9,3
4.93,10.16,46.1,5.1,98.5,39.56,1500,1465,1.35,1,0
4.69,9.48,43.1,5.01,98.58,39.68,2000,1964,1.64,1,0
5.17,10.67,43.98,4.9,98.79,39.4,2500,2480,1.43,1,0
7.19,13.05,56.86,5.59,96.37,54.44,2000,1880,2.98,0,1
5.38,9.85,44.66,5.19,98.64,39.63,2000,2033,1.52,1,0
22.01,32.7,102.88,10.22,85.93,87.16,4000,1857,9.28,5,3
4.97,10.88,45.28,5.03,98.22,41.08,2000,1958,1.6,0,0
6.76,15.63,52.31,5.8,95.58,51.17,2500,2338,2.73,0,1
11.59,20.45,74.45,7.86,90.99,68.78,3500,2814,5.06,6,2
7.61,14.23,56.35,5.58,96.63,52.98,2000,1712,3.02,3,1
6.71,12.93,54.74,5.64,96.02,52.46,2500,2356,3.11,2,1
12.32,22.66,77.36,7.63,92.81,73.12,3500,2617,6.01,4,2
16.3,34.9,98.91,10.29,86.67,92.75,4000,2262,9.55,5,3
8.39,14.94,57.49,6.02,96.47,54.85,2000,1880,2.98,3,1
13.08,20.21,72.52,7.77,91.39,67.23,3500,2868,5.27,3,2
8.41,12.7,52.21,5.8,96.29,52.05,3000,2849,3.1,3,1
5.11,10.5,44.06,5.02,98.54,41.78,2500,2531,1.38,1,0
13.22,22.02,75.42,7.4,92.06,67.19,3500,2838,5.38,6,2
17.15,38.1,93.17,9.83,84.07,94.46,4000,2208,7.88,7,3
7.39,14.7,54.42,5.96,95.58,51.36,3000,2700,3.42,2,1
4.65,10.25,45.6,4.86,98.46,40.6,1500,1533,1.31,0,0
6.59,14.4,52.89,5.7,95.95,51.09,3000,2827,2.52,2,1
18.75,32.65,99.95,9.58,83.45,93.29,4000,2164,7.45,9,3
22.61,30.58,90.48,10.39,86.28,87.56,4000,1520,10.7,6,3
22.8,38.83,92.05,10.64,84.32,91.44,4000,1821,8.55,6,3
13.36,19.02,75.75,7.13,91.4,73.02,3500,2506,6.41,6,2
7.4,14.19,54.03,5.53,95.88,49.22,2000,1782,3.19,1,1
21.9,30.43,91.01,10.67,85.73,86.16,4000,1843,10.98,8,3
5.48,10.25,46.69,4.81,98.73,38.81,2500,2463,1.35,0,0
21.42,33.82,92.89,9.85,82.06,89.65,4000,1744,10.07,10,3
12.97,24.51,72.1,7.95,92.17,67.43,3500,2578,5.2,4,2
5.42,10.07,43.99,4.86,98.39,38.54,1500,1474,1.31,1,0
17.68,33.06,88.11,10.52,84.91,91.63,4000,2389,10.14,7,3
11.08,22.16,73.65,7.62,91.94,66.61,3500,2560,4.55,4,2
5.15,9.84,44.51,5.09,98.4,39.36,2000,1950,1.51,0,0
8.0,13.16,53.4,5.79,95.89,54.02,3000,2893,3.49,0,1
8.08,13.67,52.9,5.67,96.04,50.54,3000,2706,3.21,1,1
4.7,9.81,43.49,5.16,98.22,39.71,1500,1489,1.38,1,0
11.59,19.93,78.49,7.13,92.88,68.34,3500,2877,4.85,5,2
7.4,15.9,56.63,5.65,95.42,51.52,2000,1720,2.93,1,1
12.15,21.85,77.2,7.46,93.41,66.4,3500,2605,5.31,5,2
18.22,35.55,90.45,10.93,82.9,90.75,4000,2421,10.97,7,3
4.5,9.48,44.88,5.01,98.26,38.67,2000,1964,1.44,1,0
21.98,30.33,95.82,10.91,87.66,92.39,4000,2195,7.25,7,3
23.11,30.68,90.93,9.42,85.34,94.57,4000,1924,7.38,8,3
8.49,12.23,52.91,6.06,96.41,52.14,2000,1781,2.76,0,1
8.44,14.63,54.24,5.54,95.69,52.34,3000,2878,2.81,3,1
20.77,37.2,102.21,10.68,87.92,86.54,4000,1885,10.36,6,3
10.48,20.14,70.61,7.72,92.98,69.87,3500,2660,6.25,6,2
4.89,10.15,43.84,4.84,98.77,41.82,2000,1951,1.53,1,0
16.62,39.28,98.18,10.91,86.33,90.24,4000,2422,7.65,5,3
4.61,9.6,43.18,5.02,98.57,38.15,2000,1975,1.56,0,0
22.65,36.03,101.38,9.97,82.47,87.73,4000,1870,10.66,8,3
17.55,36.17,89.34,9.66,82.64,89.93,4000,1753,8.1,5,3
8.2,15.51,55.59,5.94,96.47,49.64,2000,1813,3.36,2,1
7.42,12.95,52.96,5.66,96.29,50.12,2500,2387,2.81,3,1
10.47,24.01,77.01,7.6,93.3,70.28,3500,2876,5.48,3,2
11.83,20.13,78.52,7.49,91.35,73.21,3500,2650,5.05,2,2
4.94,9.72,43.49,4.9,98.46,38.56,2500,2462,1.62,1,0
4.75,10.59,45.91,4.97,98.62,41.32,2000,1961,1.4,1,0
12.59,22.94,77.88,7.75,90.81,68.24,3500,2660,4.52,3,2
4.93,9.37,44.8,4.87,98.44,39.94,1500,1543,1.32,1,0
6.6,12.9,54.98,5.61,95.68,51.09,2500,2374,2.61,0,1
4.83,9.34,46.49,5.01,98.57,40.66,2500,2483,1.37,1,0
7.5,12.36,53.64,5.78,96.57,53.81,2000,1894,2.55,1,1
6.85,13.38,57.35,5.81,96.35,51.73,2000,1812,3.24,2,1
5.32,9.48,46.46,4.97,98.67,41.22,2500,2523,1.42,1,0
10.65,20.29,77.76,7.33,93.31,73.1,3500,2845,4.58,5,2
4.85,10.5,43.63,4.81,98.8,38.42,2500,2536,1.64,1,0
5.08,9.35,46.56,4.82,98.54,41.29,2500,2527,1.63,0,0
6.67,12.01,55.71,5.75,95.63,51.43,3000,2806,3.14,3,1
11.46,24.37,79.99,7.4,91.85,66.9,3500,2597,5.09,6,2
6.97,14.88,55.55,5.61,96.13,53.19,2000,1717,2.98,2,1
12.32,22.29,79.28,7.55,92.02,70.62,3500,2807,5.44,4,2
7.4,12.52,52.7,5.74,95.56,52.09,2500,2376,3.34,1,1
5.0,10.05,44.87,5.14,98.34,39.51,2500,2502,1.54,1,0
10.73,22.95,79.38,7.33,91.59,66.1,3500,2680,6.12,3,2
6.54,15.68,56.3,5.63,95.47,49.73,2500,2394,2.83,3,1
16.73,36.06,87.59,9.2,85.53,87.74,4000,2018,7.13,6,3
11.04,20.37,71.91,7.72,93.17,71.46,3500,2845,5.14,4,2
13.83,23.91,73.53,7.71,93.09,71.96,3500,2867,4.57,5,2
5.0,9.4,45.87,4.86,98.58,39.13,2500,2539,1.46,0,0
4.67,10.55,45.01,4.82,98.35,39.22,1500,1495,1.66,1,0
13.65,19.37,73.15,7.13,90.52,69.72,3500,2533,5.79,3,2
7.46,15.13,54.18,5.78,95.31,52.07,3000,2746,2.55,3,1
11.8,24.3,79.71,7.47,90.85,70.1,3500,2835,4.84,4,2
20.09,36.38,100.25,9.78,84.21,88.54,4000,1661,7.5,8,3
5.31,9.39,46.32,5.17,98.3,40.9,2000,2016,1.37,1,0
20.38,31.0,101.35,9.77,85.05,93.99,4000,2478,7.94,8,3
8.34,13.89,55.41,5.94,96.14,50.84,2000,1854,3.32,1,1
7.19,12.98,54.82,5.55,96.52,54.94,2500,2378,3.19,3,1
10.53,19.75,74.75,7.09,91.12,71.12,3500,2759,6.0,3,2
10.86,19.65,77.41,7.27,92.9,67.78,3500,2650,4.76,4,2
7.08,13.07,53.44,5.5,95.33,51.19,2500,2251,2.98,0,1
18.95,30.36,97.14,10.5,86.36,85.8,4000,2266,7.4,7,3
4.92,9.39,43.44,5.12,98.67,39.31,1500,1548,1.43,0,0
6.51,14.74,54.66,5.6,96.75,50.44,2500,2341,2.74,3,1
13.95,23.62,78.38,7.98,90.94,72.36,3500,2568,4.53,5,2
5.08,10.84,43.65,5.14,98.67,41.73,1500,1545,1.55,1,0
7.23,14.15,52.78,5.89,95.92,54.42,2000,1742,2.83,2,1
12.62,20.82,79.76,7.8,91.93,66.58,3500,2687,4.53,5,2
7.19,16.0,53.54,5.84,95.24,51.5,2000,1888,3.14,1,1
8.37,14.08,52.29,5.93,96.49,49.19,2500,2386,3.29,3,1
20.11,37.49,91.19,9.58,84.86,93.65,4000,2197,7.67,8,3
11.4,22.01,73.26,7.87,93.31,71.67,3500,2676,6.26,6,2
5.42,9.65,46.39,5.04,98.63,39.58,2500,2457,1.33,1,0
8.49,13.62,54.74,5.82,95.3,49.21,2500,2201,3.47,1,1
16.59,33.26,93.09,10.86,87.65,93.93,4000,2488,10.83,6,3
6.85,13.36,57.97,5.79,96.61,52.32,3000,2891,2.91,2,1
4.9,9.63,43.39,4.87,98.76,40.07,1500,1502,1.4,0,0
20.97,37.46,92.3,10.49,87.31,87.7,4000,2431,7.41,7,3
16.63,37.01,94.66,10.05,86.19,93.07,4000,1810,10.28,6,3
8.38,14.99,56.67,5.55,95.87,49.61,2500,2307,3.19,1,1
6.91,14.41,53.32,6.07,95.75,53.36,2000,1866,3.29,3,1
21.69,32.61,95.05,9.92,82.19,94.9,4000,1628,9.76,5,3
16.33,30.79,90.14,9.98,84.0,85.48,4000,2223,10.43,7,3
7.28,12.26,56.59,5.57,96.4,53.1,2500,2266,3.03,2,1
11.55,22.46,77.97,7.03,90.65,66.44,3500,2521,5.33,2,2
4.82,10.0,44.36,4.97,98.2,39.96,1500,1485,1.59,0,0
5.11,9.74,44.39,5.15,98.62,41.14,1500,1460,1.67,1,0
7.87,14.61,52.85,5.88,95.7,52.29,2500,2285,3.32,3,1
19.77,34.18,99.66,10.59,84.1,85.78,4000,2145,8.4,6,3
8.11,15.13,53.12,5.76,95.92,49.91,2500,2202,2.78,2,1
5.27,9.55,44.34,4.99,98.72,40.3,2000,2015,1.5,0,0
17.71,31.1,94.6,9.83,85.52,93.22,4000,1613,7.23,6,3
7.59,15.51,55.28,5.55,96.05,49.3,2000,1794,3.26,0,1
19.22,35.61,96.8,9.19,83.55,92.95,4000,1694,9.55,6,3
7.8,13.46,54.45,5.6,96.22,49.23,2500,2264,2.66,0,1
5.02,10.13,44.24,4.89,98.74,41.64,2000,1966,1.44,1,0
22.76,34.65,94.06,9.9,82.33,88.06,4000,1917,9.48,8,3
11.66,19.64,77.76,7.25,90.77,71.8,3500,2896,5.83,4,2
10.18,19.47,76.01,7.76,91.06,73.02,3500,2856,4.82,2,2
11.69,22.14,72.46,7.35,92.32,72.88,3500,2624,6.36,4,2
19.97,32.11,96.83,10.77,82.6,85.46,4000,2206,7.78,6,3
20.1,36.82,95.55,10.44,82.95,86.45,4000,2268,9.55,8,3
21.38,36.36,98.38,9.94,83.29,86.49,4000,2401,7.08,10,3
22.83,35.16,95.44,9.12,84.54,86.38,4000,1729,9.28,5,3
22.0,32.9,90.41,9.88,84.74,93.3,4000,1533,9.21,5,3
11.68,22.54,78.12,7.31,93.37,69.28,3500,2567,5.39,3,2
8.26,12.89,52.3,5.99,96.27,54.98,2000,1773,2.6,0,1
5.23,9.72,44.92,4.97,98.79,38.47,2000,2021,1.62,1,0
7.46,15.45,57.52,6.06,95.65,52.02,2500,2344,2.58,3,1
19.23,34.72,95.69,10.46,86.9,91.86,4000,1631,10.02,8,3
19.2,37.65,89.98,10.25,85.21,90.3,4000,2441,9.13,8,3
5.12,10.31,44.96,5.11,98.66,38.86,1500,1497,1.32,0,0
4.64,9.87,43.45,5.0,98.69,39.52,1500,1492,1.38,1,0
6.51,14.66,52.65,5.73,95.47,50.97,2500,2241,2.79,2,1
12.81,21.78,75.29,7.01,92.66,68.43,3500,2678,5.07,4,2
16.76,30.87,97.38,10.76,85.43,91.61,4000,2267,9.77,8,3
20.82,36.24,91.11,10.97,86.87,89.06,4000,2316,7.25,8,3
21.6,35.52,96.67,9.85,82.92,90.45,4000,1688,8.51,8,3
10.18,21.83,75.24,7.01,91.08,71.94,3500,2832,4.93,6,2
8.19,13.42,55.47,5.63,95.89,49.66,2000,1789,2.93,2,1
23.35,33.25,99.38,9.47,83.7,88.1,4000,2013,7.86,7,3
7.22,15.38,54.44,5.81,96.52,51.12,2500,2293,2.94,1,1
8.14,14.73,53.13,6.08,95.42,51.03,2000,1718,3.29,2,1
4.58,9.56,43.12,4.95,98.66,39.61,2000,2023,1.65,0,0
5.33,10.71,43.86,4.91,98.64,41.67,1500,1492,1.65,0,0
16.97,38.96,92.83,9.85,85.79,92.13,4000,2277,7.64,7,3
12.24,24.26,75.0,7.85,90.87,73.18,3500,2761,6.28,3,2
7.69,12.98,57.04,5.66,96.75,52.49,2000,1708,2.89,1,1
10.66,19.94,76.04,7.86,90.79,68.13,3500,2785,5.89,4,2
5.36,10.89,44.17,4.96,98.55,39.16,2500,2454,1.45,1,0
7.83,15.62,57.83,5.74,95.53,49.58,2000,1715,3.44,3,1
5.33,9.71,44.6,4.83,98.28,40.57,1500,1510,1.56,0,0
17.53,35.67,90.93,9.61,86.75,92.29,4000,2024,9.01,5,3
7.65,13.21,53.02,5.77,95.51,50.93,2500,2229,2.56,0,1
6.66,15.04,57.53,5.88,96.18,52.8,2500,2256,2.65,0,1
4.84,9.97,45.46,5.04,98.65,40.68,2500,2458,1.39,0,0
12.45,21.32,71.96,7.95,90.65,70.0,3500,2605,5.15,2,2
6.65,13.16,57.59,5.71,95.2,51.0,2500,2377,2.91,0,1
10.49,22.23,71.49,7.24,91.79,72.75,3500,2802,5.26,3,2
22.92,34.94,91.3,9.93,82.84,94.76,4000,2156,8.28,8,3
7.79,14.14,56.7,5.72,96.23,54.45,2500,2358,3.18,2,1
16.42,37.22,93.48,10.65,85.43,93.51,4000,1881,10.72,6,3
10.57,21.0,70.44,7.21,92.04,68.52,3500,2597,5.99,6,2
6.87,13.72,55.01,5.78,95.48,49.66,2500,2356,2.53,2,1
11.92,21.69,77.97,7.37,90.82,72.57,3500,2572,5.21,4,2
5.31,10.22,43.73,4.85,98.55,40.17,1500,1453,1.58,0,0
4.74,10.08,46.3,4.97,98.77,40.95,1500,1472,1.31,0,0
7.57,12.0,55.93,5.94,95.59,51.74,2500,2315,3.46,2,1
18.88,35.0,100.64,10.9,87.16,90.47,4000,1889,8.21,7,3
6.87,13.3,53.91,5.82,96.29,51.53,3000,2802,2.57,3,1
5.14,9.42,46.6,5.05,98.46,39.65,1500,1472,1.36,1,0
21.23,35.66,88.8,10.14,83.1,94.94,4000,2447,9.79,7,3
17.81,34.51,98.77,9.47,85.37,94.16,4000,1707,9.63,5,3
